product_id,stage_name,stage_start,stage_end,wait_time_min,process_time_min,defect_occurred
1,Turning_Milling,578.8842,750.0429,0.0,171.1587,False
2,Turning_Milling,593.2583,811.0518,0.0,217.7934,False
1,QC_Turning,750.0429,813.8626,0.0,63.8197,False
1,Laser_Marking,813.8626,892.9692,0.0,79.1066,False
2,QC_Turning,813.8626,916.52,2.8109,102.6573,False
2,Laser_Marking,916.52,953.8948,0.0,37.3748,False
1,Lapping,892.9692,1215.7389,0.0,322.7697,False
2,Lapping,953.8948,1219.0521,0.0,265.1573,False
2,Round_Grinding,1219.0521,1339.9313,0.0,120.8792,False
2,Final_Inspection,1339.9313,1378.8019,0.0,38.8706,False
2,Packing,1378.8019,1438.8019,0.0,60.0,False
1,Round_Grinding,1215.7389,1522.8452,0.0,307.1063,False
1,Final_Inspection,1522.8452,1580.0783,0.0,57.2331,False
1,Packing,1580.0783,1640.0783,0.0,60.0,False
3,Turning_Milling,1234.064,1874.5771,0.0,640.5131,False
3,QC_Turning,1874.5771,1951.3787,0.0,76.8016,False
3,Laser_Marking,1951.3787,1975.9629,0.0,24.5842,False
4,Turning_Milling,1780.9616,1978.7222,0.0,197.7606,False
4,QC_Turning,1978.7222,2022.4552,0.0,43.733,False
4,Laser_Marking,2022.4552,2047.1698,0.0,24.7146,False
3,Lapping,1975.9629,2093.9598,0.0,117.9969,False
4,Lapping,2047.1698,2131.4954,0.0,84.3256,False
4,Round_Grinding,2131.4954,2178.4928,0.0,46.9974,False
4,Final_Inspection,2178.4928,2254.5735,0.0,76.0807,False
5,Turning_Milling,2038.5306,2262.5596,0.0,224.0291,False
4,Packing,2254.5735,2314.5735,0.0,60.0,False
3,Round_Grinding,2093.9598,2470.251,0.0,376.2912,False
5,QC_Turning,2262.5596,2539.9503,0.0,277.3906,False
5,Laser_Marking,2539.9503,2595.2446,0.0,55.2943,False
5,Lapping,2595.2446,2612.8494,0.0,17.6049,False
3,Final_Inspection,2470.251,2613.4246,0.0,143.1735,False
3,Packing,2613.4246,2673.4246,0.0,60.0,False
5,Round_Grinding,2612.8494,2707.3224,0.0,94.473,False
5,Final_Inspection,2707.3224,2878.8037,0.0,171.4813,False
5,Packing,2878.8037,2938.8037,0.0,60.0,False
7,Turning_Milling,3528.5929,3717.4257,0.0,188.8328,False
7,QC_Turning,3717.4257,3779.3491,0.0,61.9234,False
7,Laser_Marking,3779.3491,3844.8362,0.0,65.4871,False
6,Turning_Milling,3434.4646,3895.2214,0.0,460.7568,False
7,Lapping,3844.8362,3927.2993,0.0,82.4631,False
6,QC_Turning,3895.2214,3950.086,0.0,54.8646,False
6,Laser_Marking,3950.086,3989.7676,0.0,39.6815,False
6,Lapping,3989.7676,4038.1827,0.0,48.4151,False
6,Round_Grinding,4038.1827,4102.3734,0.0,64.1908,False
8,Turning_Milling,3957.4954,4109.3836,0.0,151.8882,False
8,QC_Turning,4109.3836,4131.7651,0.0,22.3814,False
7,Round_Grinding,3927.2993,4165.8906,0.0,238.5913,False
8,Laser_Marking,4131.7651,4171.7503,0.0,39.9853,False
8,Lapping,4171.7503,4232.1983,0.0,60.4479,False
10,Turning_Milling,4182.4664,4307.5466,0.0,125.0801,False
10,QC_Turning,4307.5466,4342.2213,0.0,34.6747,False
8,Round_Grinding,4232.1983,4349.5933,0.0,117.395,False
10,Laser_Marking,4342.2213,4363.9618,0.0,21.7405,False
10,Lapping,4363.9618,4379.5253,0.0,15.5635,False
10,Round_Grinding,4379.5253,4398.26,0.0,18.7347,False
11,Turning_Milling,4344.7102,4450.077,0.0,105.3668,False
11,QC_Turning,4450.077,4534.7378,0.0,84.6608,False
11,Laser_Marking,4534.7378,4590.9537,0.0,56.2158,False
11,Lapping,4590.9537,4607.029,0.0,16.0754,False
6,Final_Inspection,4102.3734,4709.0657,0.0,606.6923,False
12,Turning_Milling,4635.5886,4733.3408,0.0,97.7522,False
12,QC_Turning,4733.3408,4747.0576,0.0,13.7168,False
6,Packing,4709.0657,4769.0657,0.0,60.0,False
7,Final_Inspection,4709.0657,4774.7168,543.1752,65.6511,False
12,Laser_Marking,4747.0576,4778.9459,0.0,31.8882,False
13,Turning_Milling,4682.9764,4799.1593,0.0,116.1829,False
8,Final_Inspection,4774.7168,4806.4504,425.1236,31.7336,False
12,Lapping,4778.9459,4813.1271,0.0,34.1812,False
7,Packing,4774.7168,4834.7168,0.0,60.0,False
9,Turning_Milling,4101.9252,4871.6286,0.0,769.7034,False
11,Round_Grinding,4607.029,4886.7682,0.0,279.7392,False
12,Round_Grinding,4813.1271,4894.5483,0.0,81.4212,False
8,Packing,4834.7168,4894.7168,28.2664,60.0,False
14,Turning_Milling,4835.1492,4921.8886,0.0,86.7393,False
13,QC_Turning,4799.1593,4952.2269,0.0,153.0676,False
9,QC_Turning,4952.2269,4984.3874,80.5983,32.1605,False
13,Laser_Marking,4952.2269,4992.9614,0.0,40.7345,False
9,Laser_Marking,4992.9614,5078.703,8.574,85.7415,False
13,Lapping,4992.9614,5104.28,0.0,111.3185,False
9,Lapping,5078.703,5120.481,0.0,41.778,False
14,QC_Turning,4984.3874,5173.909,62.4988,189.5215,False
10,Final_Inspection,4806.4504,5186.0175,408.1904,379.567,False
13,Round_Grinding,5104.28,5209.3573,0.0,105.0773,False
15,Turning_Milling,4904.7543,5232.1199,0.0,327.3656,False
15,QC_Turning,5232.1199,5238.9883,0.0,6.8684,False
14,Laser_Marking,5173.909,5243.2327,0.0,69.3237,False
9,Round_Grinding,5120.481,5244.9939,0.0,124.5129,False
10,Packing,5186.0175,5246.0175,0.0,60.0,False
14,Lapping,5243.2327,5255.2578,0.0,12.0251,False
15,Laser_Marking,5243.2327,5258.5456,4.2444,15.3128,False
14,Round_Grinding,5255.2578,5334.7148,0.0,79.457,False
11,Final_Inspection,5186.0175,5335.2929,299.2493,149.2754,False
11,Packing,5335.2929,5395.2929,0.0,60.0,False
12,Final_Inspection,5335.2929,5396.9639,440.7446,61.671,False
15,Lapping,5258.5456,5444.1257,0.0,185.5802,False
12,Packing,5396.9639,5456.9639,0.0,60.0,False
13,Final_Inspection,5396.9639,5484.0596,187.6066,87.0956,False
13,Packing,5484.0596,5544.0596,0.0,60.0,False
9,Final_Inspection,5484.0596,5601.7794,239.0656,117.7198,False
9,Packing,5601.7794,5661.7794,0.0,60.0,False
15,Round_Grinding,5444.1257,5677.1381,0.0,233.0124,False
16,Turning_Milling,5431.6433,5711.4683,0.0,279.825,False
14,Final_Inspection,5601.7794,5730.7879,267.0646,129.0085,False
15,Final_Inspection,5730.7879,5745.2099,53.6498,14.422,False
16,QC_Turning,5711.4683,5763.1249,0.0,51.6566,False
14,Packing,5730.7879,5790.7879,0.0,60.0,False
16,Laser_Marking,5763.1249,5818.8418,0.0,55.7169,False
15,Packing,5790.7879,5850.7879,45.578,60.0,False
16,Lapping,5818.8418,5862.44,0.0,43.5982,False
16,Round_Grinding,5862.44,6101.4191,0.0,238.9791,False
16,Final_Inspection,6101.4191,6142.6742,0.0,41.2551,False
16,Packing,6142.6742,6202.6742,0.0,60.0,False
17,Turning_Milling,6131.7649,6382.5927,0.0,250.8278,False
17,QC_Turning,6382.5927,6577.8769,0.0,195.2841,False
17,Laser_Marking,6577.8769,6604.114,0.0,26.2372,False
17,Lapping,6604.114,6630.2027,0.0,26.0887,False
17,Round_Grinding,6630.2027,6679.6306,0.0,49.4279,False
17,Final_Inspection,6679.6306,6711.2152,0.0,31.5846,True
17,Packing,6711.2152,6771.2152,0.0,60.0,False
18,Turning_Milling,7033.9518,7142.5641,0.0,108.6123,False
18,QC_Turning,7142.5641,7397.8395,0.0,255.2753,False
18,Laser_Marking,7397.8395,7433.5609,0.0,35.7215,False
18,Lapping,7433.5609,7567.0186,0.0,133.4577,False
18,Round_Grinding,7567.0186,7976.1393,0.0,409.1207,False
19,Turning_Milling,7868.1069,8097.831,0.0,229.724,False
18,Final_Inspection,7976.1393,8161.7836,0.0,185.6444,False
19,QC_Turning,8097.831,8179.6434,0.0,81.8125,False
19,Laser_Marking,8179.6434,8210.8697,0.0,31.2263,False
18,Packing,8161.7836,8221.7836,0.0,60.0,False
19,Lapping,8210.8697,8248.7906,0.0,37.9208,False
19,Round_Grinding,8248.7906,8468.6435,0.0,219.8529,False
19,Final_Inspection,8468.6435,8562.2663,0.0,93.6228,False
19,Packing,8562.2663,8622.2663,0.0,60.0,False
20,Turning_Milling,8640.6065,8969.0677,0.0,328.4611,False
20,QC_Turning,8969.0677,9087.8257,0.0,118.758,True
20,Laser_Marking,9087.8257,9110.7915,0.0,22.9658,False
20,Lapping,9110.7915,9341.489,0.0,230.6975,False
20,Round_Grinding,9341.489,9535.1428,0.0,193.6538,False
20,Final_Inspection,9535.1428,9579.0066,0.0,43.8638,False
20,Packing,9579.0066,9639.0066,0.0,60.0,False
21,Turning_Milling,9975.4685,10184.8662,0.0,209.3978,False
21,QC_Turning,10184.8662,10199.7638,0.0,14.8975,False
21,Laser_Marking,10199.7638,10234.5058,0.0,34.742,False
21,Lapping,10234.5058,10329.4168,0.0,94.9111,False
21,Round_Grinding,10329.4168,10399.073,0.0,69.6561,False
21,Final_Inspection,10399.073,10431.4727,0.0,32.3997,False
21,Packing,10431.4727,10491.4727,0.0,60.0,False
22,Turning_Milling,10620.5777,10795.6831,0.0,175.1054,False
22,QC_Turning,10795.6831,10829.4191,0.0,33.736,False
22,Laser_Marking,10829.4191,10923.4038,0.0,93.9847,False
22,Lapping,10923.4038,10965.5132,0.0,42.1094,False
22,Round_Grinding,10965.5132,11151.2132,0.0,185.7,False
22,Final_Inspection,11151.2132,11281.364,0.0,130.1508,False
22,Packing,11281.364,11341.364,0.0,60.0,False
23,Turning_Milling,11632.6235,11754.719,0.0,122.0955,False
23,QC_Turning,11754.719,11832.6579,0.0,77.9389,False
23,Laser_Marking,11832.6579,11959.4773,0.0,126.8193,False
23,Lapping,11959.4773,12010.3175,0.0,50.8402,False
24,Turning_Milling,11701.6542,12014.0793,0.0,312.4251,False
24,QC_Turning,12014.0793,12058.4381,0.0,44.3588,False
25,Turning_Milling,11988.3922,12059.2182,0.0,70.8261,False
24,Laser_Marking,12058.4381,12069.9491,0.0,11.511,False
24,Lapping,12069.9491,12077.7952,0.0,7.8461,False
25,QC_Turning,12059.2182,12119.8656,0.0,60.6474,False
25,Laser_Marking,12119.8656,12159.7184,0.0,39.8527,False
24,Round_Grinding,12077.7952,12171.7271,0.0,93.9319,False
24,Final_Inspection,12171.7271,12186.1474,0.0,14.4203,False
25,Lapping,12159.7184,12201.4655,0.0,41.7472,False
24,Packing,12186.1474,12246.1474,0.0,60.0,False
25,Round_Grinding,12201.4655,12360.1911,0.0,158.7256,False
23,Round_Grinding,12010.3175,12450.6289,0.0,440.3115,False
26,Turning_Milling,12388.5593,12472.9594,0.0,84.4001,False
25,Final_Inspection,12360.1911,12484.5625,0.0,124.3713,False
23,Final_Inspection,12484.5625,12541.1308,33.9335,56.5683,False
25,Packing,12484.5625,12544.5625,0.0,60.0,False
26,QC_Turning,12472.9594,12581.5251,0.0,108.5657,False
23,Packing,12544.5625,12604.5625,3.4317,60.0,False
26,Laser_Marking,12581.5251,12636.3197,0.0,54.7946,False
27,Turning_Milling,12443.988,12667.7515,0.0,223.7635,False
26,Lapping,12636.3197,12670.1323,0.0,33.8126,False
26,Round_Grinding,12670.1323,12762.1195,0.0,91.9872,False
26,Final_Inspection,12762.1195,12852.5736,0.0,90.4541,False
26,Packing,12852.5736,12912.5736,0.0,60.0,False
27,QC_Turning,12667.7515,12943.4994,0.0,275.7479,False
27,Laser_Marking,12943.4994,12986.7062,0.0,43.2068,False
27,Lapping,12986.7062,13049.1216,0.0,62.4154,False
27,Round_Grinding,13049.1216,13090.6534,0.0,41.5318,False
27,Final_Inspection,13090.6534,13119.8901,0.0,29.2367,False
28,Turning_Milling,12938.4004,13158.4165,0.0,220.0161,False
27,Packing,13119.8901,13179.8901,0.0,60.0,False
28,QC_Turning,13158.4165,13291.8571,0.0,133.4406,False
28,Laser_Marking,13291.8571,13340.1231,0.0,48.266,False
28,Lapping,13340.1231,13375.7551,0.0,35.6319,False
28,Round_Grinding,13375.7551,13482.8914,0.0,107.1364,False
28,Final_Inspection,13482.8914,13531.8235,0.0,48.9321,False
28,Packing,13531.8235,13591.8235,0.0,60.0,False
29,Turning_Milling,13616.7904,13895.1086,0.0,278.3182,False
29,QC_Turning,13895.1086,14071.1362,0.0,176.0276,False
29,Laser_Marking,14071.1362,14109.1973,0.0,38.0611,False
29,Lapping,14109.1973,14133.9346,0.0,24.7373,False
29,Round_Grinding,14133.9346,14259.2674,0.0,125.3328,False
30,Turning_Milling,13956.5829,14322.175,0.0,365.5921,False
30,QC_Turning,14322.175,14341.4531,0.0,19.2781,False
29,Final_Inspection,14259.2674,14344.3434,0.0,85.076,False
30,Laser_Marking,14341.4531,14374.9553,0.0,33.5022,False
29,Packing,14344.3434,14404.3434,0.0,60.0,False
31,Turning_Milling,14616.462,15033.7916,0.0,417.3296,False
30,Lapping,14374.9553,15053.6559,0.0,678.7006,False
31,QC_Turning,15033.7916,15167.2836,0.0,133.492,False
31,Laser_Marking,15167.2836,15202.6432,0.0,35.3596,False
30,Round_Grinding,15053.6559,15285.7642,0.0,232.1083,False
30,Final_Inspection,15285.7642,15351.1196,0.0,65.3554,False
31,Lapping,15202.6432,15364.2268,0.0,161.5836,False
30,Packing,15351.1196,15411.1196,0.0,60.0,False
32,Turning_Milling,15249.5653,15515.2037,0.0,265.6384,False
32,QC_Turning,15515.2037,15539.3186,0.0,24.1148,False
31,Round_Grinding,15364.2268,15547.8587,0.0,183.6319,False
32,Laser_Marking,15539.3186,15575.6297,0.0,36.3111,False
31,Final_Inspection,15547.8587,15604.1461,0.0,56.2874,False
32,Lapping,15575.6297,15656.8942,0.0,81.2645,False
31,Packing,15604.1461,15664.1461,0.0,60.0,False
32,Round_Grinding,15656.8942,15816.3062,0.0,159.412,False
32,Final_Inspection,15816.3062,15856.0728,0.0,39.7666,False
32,Packing,15856.0728,15916.0728,0.0,60.0,False
33,Turning_Milling,15442.5058,15968.3505,0.0,525.8447,False
33,QC_Turning,15968.3505,16038.331,0.0,69.9804,False
33,Laser_Marking,16038.331,16051.7587,0.0,13.4277,False
34,Turning_Milling,15697.3538,16094.5344,0.0,397.1806,False
34,QC_Turning,16094.5344,16156.7204,0.0,62.186,False
34,Laser_Marking,16156.7204,16187.5852,0.0,30.8648,False
35,Turning_Milling,16088.874,16225.1103,0.0,136.2363,False
34,Lapping,16187.5852,16255.5841,0.0,67.9989,False
33,Lapping,16051.7587,16318.9308,0.0,267.1721,False
35,QC_Turning,16225.1103,16349.6858,0.0,124.5755,False
35,Laser_Marking,16349.6858,16452.1395,0.0,102.4537,False
33,Round_Grinding,16318.9308,16486.0536,0.0,167.1229,False
35,Lapping,16452.1395,16514.4896,0.0,62.3501,False
35,Round_Grinding,16514.4896,16590.5936,0.0,76.1039,False
33,Final_Inspection,16486.0536,16626.3203,0.0,140.2667,False
33,Packing,16626.3203,16686.3203,0.0,60.0,False
35,Final_Inspection,16626.3203,16693.5993,35.7267,67.279,False
34,Round_Grinding,16255.5841,16717.0685,0.0,461.4844,False
35,Packing,16693.5993,16753.5993,0.0,60.0,False
36,Turning_Milling,16277.5421,16961.8168,0.0,684.2747,False
37,Turning_Milling,16554.4189,17004.8988,0.0,450.4799,False
38,Turning_Milling,16788.9882,17008.6053,0.0,219.6172,False
36,QC_Turning,16961.8168,17130.9874,0.0,169.1706,False
36,Laser_Marking,17130.9874,17150.1929,0.0,19.2055,False
37,QC_Turning,17130.9874,17248.0924,126.0886,117.105,False
36,Lapping,17150.1929,17274.5617,0.0,124.3689,False
37,Laser_Marking,17248.0924,17291.4302,0.0,43.3378,False
36,Round_Grinding,17274.5617,17354.3507,0.0,79.789,False
37,Lapping,17291.4302,17397.5568,0.0,106.1267,False
34,Final_Inspection,16717.0685,17488.0604,0.0,770.9919,False
37,Round_Grinding,17397.5568,17490.3152,0.0,92.7584,False
38,QC_Turning,17248.0924,17512.9457,239.4871,264.8533,False
36,Final_Inspection,17488.0604,17525.6272,133.7097,37.5668,False
34,Packing,17488.0604,17548.0604,0.0,60.0,False
38,Laser_Marking,17512.9457,17572.173,0.0,59.2273,False
36,Packing,17548.0604,17608.0604,22.4332,60.0,False
38,Lapping,17572.173,17667.1037,0.0,94.9308,False
37,Final_Inspection,17525.6272,17749.207,35.312,223.5798,False
37,Packing,17749.207,17809.207,0.0,60.0,False
38,Round_Grinding,17667.1037,17932.4379,0.0,265.3342,False
39,Turning_Milling,17568.4169,18027.2093,0.0,458.7924,False
40,Turning_Milling,17958.0755,18119.2667,0.0,161.1912,False
39,QC_Turning,18027.2093,18119.302,0.0,92.0927,False
38,Final_Inspection,17932.4379,18217.3893,0.0,284.9514,False
40,QC_Turning,18119.302,18217.658,0.0352,98.356,False
38,Packing,18217.3893,18277.3893,0.0,60.0,False
39,Laser_Marking,18119.302,18346.837,0.0,227.535,False
39,Lapping,18346.837,18412.1459,0.0,65.309,False
40,Laser_Marking,18346.837,18423.8097,129.179,76.9727,False
39,Round_Grinding,18412.1459,18546.8261,0.0,134.6801,False
39,Final_Inspection,18546.8261,18583.0512,0.0,36.2251,True
39,Packing,18583.0512,18643.0512,0.0,60.0,False
41,Turning_Milling,18547.9469,18751.7279,0.0,203.781,False
41,QC_Turning,18751.7279,18781.6248,0.0,29.8968,False
41,Laser_Marking,18781.6248,18908.3603,0.0,126.7355,False
40,Lapping,18423.8097,18916.3337,0.0,492.524,False
41,Lapping,18908.3603,18957.0365,0.0,48.6763,False
41,Round_Grinding,18957.0365,19062.2084,0.0,105.1719,False
42,Turning_Milling,18984.414,19095.2413,0.0,110.8273,False
41,Final_Inspection,19062.2084,19118.1952,0.0,55.9868,False
42,QC_Turning,19095.2413,19150.3517,0.0,55.1104,False
41,Packing,19118.1952,19178.1952,0.0,60.0,False
42,Laser_Marking,19150.3517,19185.5257,0.0,35.174,False
40,Round_Grinding,18916.3337,19259.5216,0.0,343.1879,False
42,Lapping,19185.5257,19320.2066,0.0,134.6809,False
40,Final_Inspection,19259.5216,19321.7066,0.0,62.185,False
40,Packing,19321.7066,19381.7066,0.0,60.0,False
42,Round_Grinding,19320.2066,19462.9846,0.0,142.778,False
42,Final_Inspection,19462.9846,19520.5119,0.0,57.5272,False
42,Packing,19520.5119,19580.5119,0.0,60.0,False
43,Turning_Milling,20223.0763,20378.4675,0.0,155.3912,False
43,QC_Turning,20378.4675,20425.5932,0.0,47.1257,False
43,Laser_Marking,20425.5932,20454.2977,0.0,28.7046,False
43,Lapping,20454.2977,20472.9934,0.0,18.6957,False
43,Round_Grinding,20472.9934,20577.9147,0.0,104.9213,False
43,Final_Inspection,20577.9147,20675.299,0.0,97.3843,False
43,Packing,20675.299,20735.299,0.0,60.0,False
44,Turning_Milling,21045.2928,21141.6881,0.0,96.3953,False
44,QC_Turning,21141.6881,21336.7818,0.0,195.0937,False
44,Laser_Marking,21336.7818,21380.9773,0.0,44.1955,False
44,Lapping,21380.9773,21444.9832,0.0,64.0059,False
44,Round_Grinding,21444.9832,21490.7143,0.0,45.7311,False
44,Final_Inspection,21490.7143,21563.4148,0.0,72.7005,False
44,Packing,21563.4148,21623.4148,0.0,60.0,False
45,Turning_Milling,21453.8814,21789.421,0.0,335.5396,False
45,QC_Turning,21789.421,21818.9502,0.0,29.5292,False
45,Laser_Marking,21818.9502,21851.6864,0.0,32.7362,False
45,Lapping,21851.6864,21878.6614,0.0,26.975,False
45,Round_Grinding,21878.6614,22019.0176,0.0,140.3561,False
46,Turning_Milling,21636.3926,22143.565,0.0,507.1724,False
46,QC_Turning,22143.565,22228.1235,0.0,84.5585,False
46,Laser_Marking,22228.1235,22251.5426,0.0,23.4191,False
46,Lapping,22251.5426,22345.054,0.0,93.5114,False
46,Round_Grinding,22345.054,22405.7974,0.0,60.7434,False
45,Final_Inspection,22019.0176,22477.9836,0.0,458.9661,False
46,Final_Inspection,22477.9836,22518.4546,72.1863,40.471,False
45,Packing,22477.9836,22537.9836,0.0,60.0,False
46,Packing,22537.9836,22597.9836,19.529,60.0,False
47,Turning_Milling,22723.6737,23341.1571,0.0,617.4834,False
47,QC_Turning,23341.1571,23463.6506,0.0,122.4935,False
47,Laser_Marking,23463.6506,23528.261,0.0,64.6104,False
47,Lapping,23528.261,23615.9939,0.0,87.7329,False
47,Round_Grinding,23615.9939,23814.6842,0.0,198.6904,False
47,Final_Inspection,23814.6842,23858.9185,0.0,44.2343,False
47,Packing,23858.9185,23918.9185,0.0,60.0,False
48,Turning_Milling,24806.9128,25306.5498,0.0,499.6369,False
48,QC_Turning,25306.5498,25414.1526,0.0,107.6028,False
48,Laser_Marking,25414.1526,25480.3902,0.0,66.2376,False
48,Lapping,25480.3902,25500.0466,0.0,19.6564,False
48,Round_Grinding,25500.0466,25649.3057,0.0,149.2591,False
48,Final_Inspection,25649.3057,25746.3708,0.0,97.0651,False
48,Packing,25746.3708,25806.3708,0.0,60.0,False
49,Turning_Milling,25532.5648,25824.9246,0.0,292.3598,False
49,QC_Turning,25824.9246,25855.889,0.0,30.9644,False
49,Laser_Marking,25855.889,25881.0244,0.0,25.1353,False
49,Lapping,25881.0244,25955.9732,0.0,74.9488,False
49,Round_Grinding,25955.9732,26013.4713,0.0,57.4982,False
49,Final_Inspection,26013.4713,26050.5201,0.0,37.0488,False
49,Packing,26050.5201,26110.5201,0.0,60.0,False
51,Turning_Milling,25953.405,26168.0737,0.0,214.6686,False
51,QC_Turning,26168.0737,26209.6031,0.0,41.5294,False
51,Laser_Marking,26209.6031,26230.6219,0.0,21.0188,False
51,Lapping,26230.6219,26317.7372,0.0,87.1153,False
50,Turning_Milling,25910.9533,26549.7983,0.0,638.8451,False
50,QC_Turning,26549.7983,26590.0243,0.0,40.2259,False
50,Laser_Marking,26590.0243,26665.4362,0.0,75.412,False
50,Lapping,26665.4362,26813.1426,0.0,147.7064,False
50,Round_Grinding,26813.1426,27014.8655,0.0,201.7229,False
50,Final_Inspection,27014.8655,27090.9691,0.0,76.1036,False
